run,Comparison.type,Yard.diff,Neighbor.distance,Num.nursery,Mimicry,Constraint,Step
286,equal,0,3,4,TRUE,random,47
287,equal,0,3,4,TRUE,random,30
288,equal,0,3,4,TRUE,random,39
289,equal,0,3,4,TRUE,random,33
290,equal,0,3,4,TRUE,random,34
291,equal,0,3,4,TRUE,by-block,99
292,equal,0,3,4,TRUE,by-block,99
293,equal,0,3,4,TRUE,by-block,99
294,equal,0,3,4,TRUE,by-block,99
295,equal,0,3,4,TRUE,by-block,99
296,equal,0,3,4,TRUE,by-block,99
297,equal,0,3,4,TRUE,by-block,99
298,equal,0,3,4,TRUE,by-block,99
299,equal,0,3,4,TRUE,by-block,99
300,equal,0,3,4,TRUE,by-block,99
301,equal,0,9,1,TRUE,off,99
302,equal,0,9,1,TRUE,off,61
303,equal,0,9,1,TRUE,off,99
304,equal,0,9,1,TRUE,off,50
305,equal,0,9,1,TRUE,off,45
306,equal,0,9,1,TRUE,off,88
307,equal,0,9,1,TRUE,off,69
308,equal,0,9,1,TRUE,off,99
309,equal,0,9,1,TRUE,off,99
310,equal,0,9,1,TRUE,off,99
311,equal,0,9,1,TRUE,random,20
312,equal,0,9,1,TRUE,random,21
313,equal,0,9,1,TRUE,random,20
314,equal,0,9,1,TRUE,random,21
315,equal,0,9,1,TRUE,random,19
316,equal,0,9,1,TRUE,random,20
317,equal,0,9,1,TRUE,random,20
318,equal,0,9,1,TRUE,random,20
319,equal,0,9,1,TRUE,random,20
320,equal,0,9,1,TRUE,random,21
321,equal,0,9,1,TRUE,by-block,99
322,equal,0,9,1,TRUE,by-block,99
323,equal,0,9,1,TRUE,by-block,96
324,equal,0,9,1,TRUE,by-block,99
325,equal,0,9,1,TRUE,by-block,99
326,equal,0,9,1,TRUE,by-block,99
327,equal,0,9,1,TRUE,by-block,99
328,equal,0,9,1,TRUE,by-block,99
329,equal,0,9,1,TRUE,by-block,99
330,equal,0,9,1,TRUE,by-block,99
331,equal,0,9,4,TRUE,off,99
332,equal,0,9,4,TRUE,off,99
333,equal,0,9,4,TRUE,off,99
334,equal,0,9,4,TRUE,off,99
335,equal,0,9,4,TRUE,off,63
336,equal,0,9,4,TRUE,off,86
337,equal,0,9,4,TRUE,off,85
338,equal,0,9,4,TRUE,off,71
339,equal,0,9,4,TRUE,off,87
340,equal,0,9,4,TRUE,off,76
341,equal,0,9,4,TRUE,random,19
342,equal,0,9,4,TRUE,random,55
343,equal,0,9,4,TRUE,random,20
344,equal,0,9,4,TRUE,random,52
345,equal,0,9,4,TRUE,random,20
346,equal,0,9,4,TRUE,random,20
347,equal,0,9,4,TRUE,random,42
348,equal,0,9,4,TRUE,random,21
349,equal,0,9,4,TRUE,random,20
350,equal,0,9,4,TRUE,random,20
351,equal,0,9,4,TRUE,by-block,99
352,equal,0,9,4,TRUE,by-block,99
353,equal,0,9,4,TRUE,by-block,99
354,equal,0,9,4,TRUE,by-block,99
355,equal,0,9,4,TRUE,by-block,99
356,equal,0,9,4,TRUE,by-block,99
357,equal,0,9,4,TRUE,by-block,99
358,equal,0,9,4,TRUE,by-block,99
359,equal,0,9,4,TRUE,by-block,99
360,equal,0,9,4,TRUE,by-block,99
361,equal,2,3,1,TRUE,off,42
362,equal,2,3,1,TRUE,off,42
363,equal,2,3,1,TRUE,off,43
364,equal,2,3,1,TRUE,off,53
365,equal,2,3,1,TRUE,off,33
366,equal,2,3,1,TRUE,off,36
367,equal,2,3,1,TRUE,off,66
368,equal,2,3,1,TRUE,off,39
369,equal,2,3,1,TRUE,off,38
370,equal,2,3,1,TRUE,off,44
371,equal,2,3,1,TRUE,random,19
372,equal,2,3,1,TRUE,random,18
373,equal,2,3,1,TRUE,random,19
374,equal,2,3,1,TRUE,random,20
375,equal,2,3,1,TRUE,random,20
376,equal,2,3,1,TRUE,random,20
377,equal,2,3,1,TRUE,random,22
378,equal,2,3,1,TRUE,random,18
379,equal,2,3,1,TRUE,random,20
380,equal,2,3,1,TRUE,random,23
381,equal,2,3,1,TRUE,by-block,19
382,equal,2,3,1,TRUE,by-block,16
383,equal,2,3,1,TRUE,by-block,17
384,equal,2,3,1,TRUE,by-block,17
385,equal,2,3,1,TRUE,by-block,17
386,equal,2,3,1,TRUE,by-block,18
387,equal,2,3,1,TRUE,by-block,17
388,equal,2,3,1,TRUE,by-block,19
389,equal,2,3,1,TRUE,by-block,19
390,equal,2,3,1,TRUE,by-block,19
391,equal,2,3,4,TRUE,off,39
392,equal,2,3,4,TRUE,off,52
393,equal,2,3,4,TRUE,off,35
394,equal,2,3,4,TRUE,off,37
395,equal,2,3,4,TRUE,off,48
396,equal,2,3,4,TRUE,off,39
397,equal,2,3,4,TRUE,off,51
398,equal,2,3,4,TRUE,off,37
399,equal,2,3,4,TRUE,off,39
400,equal,2,3,4,TRUE,off,49
401,equal,2,3,4,TRUE,random,19
402,equal,2,3,4,TRUE,random,19
403,equal,2,3,4,TRUE,random,19
404,equal,2,3,4,TRUE,random,18
405,equal,2,3,4,TRUE,random,20
406,equal,2,3,4,TRUE,random,20
407,equal,2,3,4,TRUE,random,20
408,equal,2,3,4,TRUE,random,21
409,equal,2,3,4,TRUE,random,20
410,equal,2,3,4,TRUE,random,20
411,equal,2,3,4,TRUE,by-block,17
412,equal,2,3,4,TRUE,by-block,19
413,equal,2,3,4,TRUE,by-block,18
414,equal,2,3,4,TRUE,by-block,17
415,equal,2,3,4,TRUE,by-block,17
416,equal,2,3,4,TRUE,by-block,18
417,equal,2,3,4,TRUE,by-block,17
418,equal,2,3,4,TRUE,by-block,17
419,equal,2,3,4,TRUE,by-block,19
420,equal,2,3,4,TRUE,by-block,19
421,equal,2,9,1,TRUE,off,42
422,equal,2,9,1,TRUE,off,46
423,equal,2,9,1,TRUE,off,38
424,equal,2,9,1,TRUE,off,47
425,equal,2,9,1,TRUE,off,32
426,equal,2,9,1,TRUE,off,37
427,equal,2,9,1,TRUE,off,39
428,equal,2,9,1,TRUE,off,41
429,equal,2,9,1,TRUE,off,36
430,equal,2,9,1,TRUE,off,45
431,equal,2,9,1,TRUE,random,19
432,equal,2,9,1,TRUE,random,21
433,equal,2,9,1,TRUE,random,22
434,equal,2,9,1,TRUE,random,18
435,equal,2,9,1,TRUE,random,20
436,equal,2,9,1,TRUE,random,20
437,equal,2,9,1,TRUE,random,27
438,equal,2,9,1,TRUE,random,19
439,equal,2,9,1,TRUE,random,19
440,equal,2,9,1,TRUE,random,20
441,equal,2,9,1,TRUE,by-block,19
442,equal,2,9,1,TRUE,by-block,18
443,equal,2,9,1,TRUE,by-block,18
444,equal,2,9,1,TRUE,by-block,23
445,equal,2,9,1,TRUE,by-block,21
446,equal,2,9,1,TRUE,by-block,25
447,equal,2,9,1,TRUE,by-block,20
448,equal,2,9,1,TRUE,by-block,19
449,equal,2,9,1,TRUE,by-block,21
450,equal,2,9,1,TRUE,by-block,17
451,equal,2,9,4,TRUE,off,45
452,equal,2,9,4,TRUE,off,57
453,equal,2,9,4,TRUE,off,42
454,equal,2,9,4,TRUE,off,37
455,equal,2,9,4,TRUE,off,39
456,equal,2,9,4,TRUE,off,38
457,equal,2,9,4,TRUE,off,40
458,equal,2,9,4,TRUE,off,49
459,equal,2,9,4,TRUE,off,37
460,equal,2,9,4,TRUE,off,46
461,equal,2,9,4,TRUE,random,20
462,equal,2,9,4,TRUE,random,19
463,equal,2,9,4,TRUE,random,18
464,equal,2,9,4,TRUE,random,20
465,equal,2,9,4,TRUE,random,21
466,equal,2,9,4,TRUE,random,28
467,equal,2,9,4,TRUE,random,19
468,equal,2,9,4,TRUE,random,20
469,equal,2,9,4,TRUE,random,19
470,equal,2,9,4,TRUE,random,20
471,equal,2,9,4,TRUE,by-block,20
472,equal,2,9,4,TRUE,by-block,22
473,equal,2,9,4,TRUE,by-block,25
474,equal,2,9,4,TRUE,by-block,19
475,equal,2,9,4,TRUE,by-block,17
476,equal,2,9,4,TRUE,by-block,17
477,equal,2,9,4,TRUE,by-block,20
478,equal,2,9,4,TRUE,by-block,17
479,equal,2,9,4,TRUE,by-block,19
480,equal,2,9,4,TRUE,by-block,18
