"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step","Run"
"1099",8.22757030633211,-0.00205504413067838,0.920122106198382,4,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1100",10.2925902509984,-0.00202527132038396,0.923564834339199,5,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1101",12.3576101956647,-0.00235565459204588,0.965690324175392,6,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1102",14.4226301403311,-0.00099888343398332,0.783493928403475,7,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1103",16.4876500849974,0.00147800650799124,0.0703233647191528,8,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1104",18.5526700296637,-0.000521206672569352,0.652714519193016,9,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1105",20.61768997433,-0.000600547192406946,0.694563129461446,10,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1106",22.6827099189963,0.000329639944018196,0.333906795971864,11,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1107",24.7477298636626,-0.000231229241179405,0.55561156541281,12,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1108",26.812749808329,-0.00105245475428243,0.848036834691958,13,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1109",28.8777697529953,0.000271322362262166,0.343264799371423,14,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1110",30.9427896976616,0.000643184851672394,0.201734802123464,15,77,"equal-or-greater",0,9,1,TRUE,"random",11,74
"1111",2.03250997233316,0.000339375721163518,0.435374453340928,1,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1112",4.09753041699947,0.00324937294325676,0.0368424236343897,2,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1113",6.16255036166579,0.00211060990450238,0.101898450037589,3,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1114",8.22757030633211,-0.000956895971251867,0.731385347195015,4,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1115",10.2925902509984,0.000665957592976169,0.285464378351079,5,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1116",12.3576101956647,-0.00227712499004018,0.960593723570531,6,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1117",14.4226301403311,0.000829909587856897,0.209644264867457,7,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1118",16.4876500849974,-0.00154564717456754,0.912027371182381,8,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1119",18.5526700296637,-0.00199819383586738,0.961066957002916,9,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1120",20.61768997433,-7.97572001045729e-05,0.492615077224651,10,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1121",22.6827099189963,0.00122884416315776,0.0915157959328967,11,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1122",24.7477298636626,-0.00139746138244609,0.913786806035369,12,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1123",26.812749808329,0.000128310150785347,0.403685896176037,13,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1124",28.8777697529953,0.000538969969199539,0.24320819387811,14,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1125",30.9427896976616,-0.000339611662760146,0.607298445973168,15,78,"equal-or-greater",0,9,1,TRUE,"random",24,75
"1126",2.03250997233316,0.00447616964751585,0.0444349292895926,1,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1127",4.09753041699947,0.0048139172358755,0.00434051499147505,2,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1128",6.16255036166579,-0.000256663715868428,0.536358456308389,3,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1129",8.22757030633211,0.001393547990986,0.141971747243503,4,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1130",10.2925902509984,0.000650448978573232,0.289396668154589,5,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1131",12.3576101956647,-0.00256345996355489,0.976619250551028,6,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1132",14.4226301403311,0.000696576435064802,0.244604774435642,7,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1133",16.4876500849974,-0.000599582285269812,0.680414055485709,8,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1134",18.5526700296637,-0.00169848684379863,0.931229456646008,9,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1135",20.61768997433,-0.00164712314482158,0.941618359635894,10,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1136",22.6827099189963,-8.45757115107079e-05,0.494610719586244,11,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1137",24.7477298636626,-0.00124525219354548,0.885811762310217,12,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1138",26.812749808329,0.000824165200191201,0.160277649478333,13,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1139",28.8777697529953,-0.00224148980089421,0.990406444850385,14,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1140",30.9427896976616,0.000982770821137821,0.111584090647601,15,79,"equal-or-greater",0,9,1,TRUE,"random",25,76
"1141",2.03250997233316,0.0139695684134494,8.35419161324986e-08,1,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1142",4.09753041699947,0.00724368193643247,4.37849389591532e-05,2,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1143",6.16255036166579,0.0108247965257457,1.64345216170085e-10,3,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1144",8.22757030633211,0.00637052629674489,1.6844431473142e-06,4,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1145",10.2925902509984,0.00397767273544808,0.00125129208237874,5,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1146",12.3576101956647,0.00161235192126168,0.0838639094269108,6,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1147",14.4226301403311,0.00163641537637013,0.0655759546861537,7,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1148",16.4876500849974,-0.00139838441981139,0.887939311148155,8,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1149",18.5526700296637,-0.0007696291927716,0.733413847665204,9,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1150",20.61768997433,-0.000384464160282363,0.614101769285413,10,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1151",22.6827099189963,-0.00268958224772425,0.995344968857565,11,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1152",24.7477298636626,-0.00249779373843723,0.994128627266606,12,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1153",26.812749808329,-0.0025003725935715,0.995168632150029,13,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1154",28.8777697529953,-0.00144158324510371,0.928943776364803,14,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1155",30.9427896976616,-0.00156538067654979,0.950921076967789,15,80,"equal-or-greater",0,9,1,TRUE,"random",24,77
"1156",2.03250997233316,0.896110407695012,0,1,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1157",4.09753041699947,0.882276708337301,0,2,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1158",6.16255036166579,0.869328946886114,0,3,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1159",8.22757030633211,0.85053080912783,0,4,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1160",10.2925902509984,0.824499890340321,0,5,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1161",12.3576101956647,0.798135804473735,0,6,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1162",14.4226301403311,0.766058442590893,0,7,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1163",16.4876500849974,0.729538172202606,0,8,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1164",18.5526700296637,0.690858856806318,0,9,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1165",20.61768997433,0.649473205944211,0,10,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1166",22.6827099189963,0.606856753756481,0,11,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1167",24.7477298636626,0.563039831947576,0,12,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1168",26.812749808329,0.515225423365128,0,13,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1169",28.8777697529953,0.472045758559079,0,14,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1170",30.9427896976616,0.424471130025518,0,15,81,"equal-or-greater",0,9,1,TRUE,"by-block",66,78
"1171",2.03250997233316,0.935609548630725,0,1,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
"1172",4.09753041699947,0.924810361756137,0,2,82,"equal-or-greater",0,9,1,TRUE,"by-block",96,79
