run,Comparison.type,Yard.Diff,Neighbor.Distance,Num.Nursery,Mimicry,Constraints,Step
283,equal,0,9,1,TRUE,off,95
284,equal,0,9,1,TRUE,off,99
285,equal,0,9,1,TRUE,off,59
286,equal,0,9,1,TRUE,off,99
287,equal,0,9,1,TRUE,off,99
288,equal,0,9,1,TRUE,off,99
289,equal,0,9,1,TRUE,off,99
290,equal,0,9,1,TRUE,off,99
291,equal,0,12,1,TRUE,off,39
292,equal,0,12,1,TRUE,off,60
293,equal,0,12,1,TRUE,off,37
294,equal,0,12,1,TRUE,off,99
295,equal,0,12,1,TRUE,off,99
296,equal,0,12,1,TRUE,off,48
297,equal,0,12,1,TRUE,off,99
298,equal,0,12,1,TRUE,off,99
299,equal,0,12,1,TRUE,off,52
300,equal,0,12,1,TRUE,off,46
301,equal,1,1,1,TRUE,off,37
302,equal,1,1,1,TRUE,off,42
303,equal,1,1,1,TRUE,off,40
304,equal,1,1,1,TRUE,off,30
305,equal,1,1,1,TRUE,off,43
306,equal,1,1,1,TRUE,off,40
307,equal,1,1,1,TRUE,off,36
308,equal,1,1,1,TRUE,off,36
309,equal,1,1,1,TRUE,off,35
310,equal,1,1,1,TRUE,off,36
311,equal,1,3,1,TRUE,off,37
312,equal,1,3,1,TRUE,off,35
313,equal,1,3,1,TRUE,off,37
314,equal,1,3,1,TRUE,off,46
315,equal,1,3,1,TRUE,off,41
316,equal,1,3,1,TRUE,off,42
317,equal,1,3,1,TRUE,off,40
318,equal,1,3,1,TRUE,off,47
319,equal,1,3,1,TRUE,off,39
320,equal,1,3,1,TRUE,off,36
321,equal,1,6,1,TRUE,off,39
322,equal,1,6,1,TRUE,off,63
323,equal,1,6,1,TRUE,off,44
324,equal,1,6,1,TRUE,off,39
325,equal,1,6,1,TRUE,off,36
326,equal,1,6,1,TRUE,off,41
327,equal,1,6,1,TRUE,off,42
328,equal,1,6,1,TRUE,off,43
329,equal,1,6,1,TRUE,off,42
330,equal,1,6,1,TRUE,off,36
331,equal,1,9,1,TRUE,off,51
332,equal,1,9,1,TRUE,off,41
333,equal,1,9,1,TRUE,off,40
334,equal,1,9,1,TRUE,off,48
335,equal,1,9,1,TRUE,off,44
336,equal,1,9,1,TRUE,off,51
337,equal,1,9,1,TRUE,off,35
338,equal,1,9,1,TRUE,off,35
339,equal,1,9,1,TRUE,off,44
340,equal,1,9,1,TRUE,off,50
341,equal,1,12,1,TRUE,off,42
342,equal,1,12,1,TRUE,off,52
343,equal,1,12,1,TRUE,off,44
344,equal,1,12,1,TRUE,off,48
345,equal,1,12,1,TRUE,off,38
