"","Mantel.local","Class.Index","P.value","run","Num.nursery","Constraints","Mimicry","step"
"9.9",0.00986369213351272,19,0.099009900990099,9,1,"off",FALSE,0
"9.10",0.00734012234877494,21,0.108910891089109,9,1,"off",FALSE,0
"9.11",0.00681312084969791,23,0.118811881188119,9,1,"off",FALSE,0
"9.12",0.00555885188401575,25,0.128712871287129,9,1,"off",FALSE,0
"9.13",0.00479729993972796,27,0.138613861386139,9,1,"off",FALSE,0
"9.14",0.00389610796928636,29,0.148514851485149,9,1,"off",FALSE,0
"10",0.0166293660187961,1,0.0099009900990099,10,1,"off",FALSE,0
"10.1",0.0222773117266092,3,0.0198019801980198,10,1,"off",FALSE,0
"10.2",0.0216086860524426,5,0.0297029702970297,10,1,"off",FALSE,0
"10.3",0.0164463574651377,7,0.0396039603960396,10,1,"off",FALSE,0
"10.4",0.0111572078388613,9,0.0495049504950495,10,1,"off",FALSE,0
"10.5",0.0119707838447895,11,0.0594059405940594,10,1,"off",FALSE,0
"10.6",0.0111773864148856,13,0.0693069306930693,10,1,"off",FALSE,0
"10.7",0.0114174431913336,15,0.0792079207920792,10,1,"off",FALSE,0
"10.8",0.0111463426669746,17,0.0891089108910891,10,1,"off",FALSE,0
"10.9",0.0092074413493161,19,0.099009900990099,10,1,"off",FALSE,0
"10.10",0.00723671771622054,21,0.108910891089109,10,1,"off",FALSE,0
"10.11",0.00658026053895374,23,0.118811881188119,10,1,"off",FALSE,0
"10.12",0.00546764758625517,25,0.128712871287129,10,1,"off",FALSE,0
"10.13",0.00499354567938917,27,0.138613861386139,10,1,"off",FALSE,0
"10.14",0.00413368225676489,29,0.148514851485149,10,1,"off",FALSE,0
"11",0.0176502611922128,1,0.0099009900990099,11,1,"off",FALSE,0
"11.1",0.024106413672391,3,0.0198019801980198,11,1,"off",FALSE,0
"11.2",0.0241912688154957,5,0.0297029702970297,11,1,"off",FALSE,0
"11.3",0.0194036391900746,7,0.0396039603960396,11,1,"off",FALSE,0
