"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.dist","Num.nursery","Mimicry","Constraints","step"
"13.10",0.00128073683423844,21,0.108910891089109,13,"equal",0,3,4,TRUE,"off",99
"13.11",0.00042803283550965,23,0.871287128712871,13,"equal",0,3,4,TRUE,"off",99
"13.12",0.000851724979853747,25,0.346534653465347,13,"equal",0,3,4,TRUE,"off",99
"13.13",0.00138099842096366,27,0.138613861386139,13,"equal",0,3,4,TRUE,"off",99
"13.14",0.00187908754688111,29,0.148514851485149,13,"equal",0,3,4,TRUE,"off",99
"14",0.0309230956825146,1,0.0099009900990099,14,"equal",0,3,4,TRUE,"off",99
"14.1",0.0345476772175547,3,0.0198019801980198,14,"equal",0,3,4,TRUE,"off",99
"14.2",0.0240193416677763,5,0.0297029702970297,14,"equal",0,3,4,TRUE,"off",99
"14.3",0.0131922066894401,7,0.0396039603960396,14,"equal",0,3,4,TRUE,"off",99
"14.4",0.00728204053341013,9,0.0495049504950495,14,"equal",0,3,4,TRUE,"off",99
"14.5",0.00494777412606944,11,0.0594059405940594,14,"equal",0,3,4,TRUE,"off",99
"14.6",0.00264976882153339,13,0.0693069306930693,14,"equal",0,3,4,TRUE,"off",99
"14.7",0.00206142934598033,15,0.0792079207920792,14,"equal",0,3,4,TRUE,"off",99
"14.8",0.00223996156932677,17,0.0891089108910891,14,"equal",0,3,4,TRUE,"off",99
"14.9",0.00236218961172245,19,0.099009900990099,14,"equal",0,3,4,TRUE,"off",99
"14.10",0.00328058782804895,21,0.108910891089109,14,"equal",0,3,4,TRUE,"off",99
"14.11",0.00193614988601513,23,0.118811881188119,14,"equal",0,3,4,TRUE,"off",99
"14.12",0.00118551196100506,25,0.128712871287129,14,"equal",0,3,4,TRUE,"off",99
"14.13",0.000448530561202177,27,0.168316831683168,14,"equal",0,3,4,TRUE,"off",99
"14.14",0.000371035649569013,29,0.336633663366337,14,"equal",0,3,4,TRUE,"off",99
"15",0.0301064840828935,1,0.0099009900990099,15,"equal",0,3,4,TRUE,"off",99
"15.1",0.0340169240114246,3,0.0198019801980198,15,"equal",0,3,4,TRUE,"off",99
"15.2",0.0238822126744625,5,0.0297029702970297,15,"equal",0,3,4,TRUE,"off",99
"15.3",0.0134319416126675,7,0.0396039603960396,15,"equal",0,3,4,TRUE,"off",99
"15.4",0.0078453773053595,9,0.0495049504950495,15,"equal",0,3,4,TRUE,"off",99
"15.5",0.00524136808079219,11,0.0594059405940594,15,"equal",0,3,4,TRUE,"off",99
"15.6",0.00343298476949851,13,0.0693069306930693,15,"equal",0,3,4,TRUE,"off",99
"15.7",0.00259502361780768,15,0.0792079207920792,15,"equal",0,3,4,TRUE,"off",99
"15.8",0.00235681499458073,17,0.0891089108910891,15,"equal",0,3,4,TRUE,"off",99
"15.9",0.00152041263889924,19,0.099009900990099,15,"equal",0,3,4,TRUE,"off",99
"15.10",0.00136188075212916,21,0.108910891089109,15,"equal",0,3,4,TRUE,"off",99
"15.11",0.000557173718957332,23,0.118811881188119,15,"equal",0,3,4,TRUE,"off",99
"15.12",0.000387373151576813,25,0.237623762376238,15,"equal",0,3,4,TRUE,"off",99
"15.13",0.00107796824199137,27,0.138613861386139,15,"equal",0,3,4,TRUE,"off",99
"15.14",0.00113522078962426,29,0.148514851485149,15,"equal",0,3,4,TRUE,"off",99
"16",0.0286536721563569,1,0.0099009900990099,16,"equal",0,3,4,TRUE,"off",99
"16.1",0.0315834870792772,3,0.0198019801980198,16,"equal",0,3,4,TRUE,"off",99
"16.2",0.0222324056669391,5,0.0297029702970297,16,"equal",0,3,4,TRUE,"off",99
"16.3",0.0130955769631997,7,0.0396039603960396,16,"equal",0,3,4,TRUE,"off",99
"16.4",0.00815933023536018,9,0.0495049504950495,16,"equal",0,3,4,TRUE,"off",99
"16.5",0.0062814591852744,11,0.0594059405940594,16,"equal",0,3,4,TRUE,"off",99
