"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraints","Step"
"8.7",0.00302563177088391,15,0.0792079207920792,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.8",0.00267372018460306,17,0.0891089108910891,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.9",0.00280280172640961,19,0.099009900990099,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.10",0.00371963259557171,21,0.108910891089109,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.11",0.00224247196207,23,0.118811881188119,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.12",0.00265474715629231,25,0.128712871287129,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.13",0.00268433708381395,27,0.138613861386139,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.14",0.00242152106748319,29,0.148514851485149,8,"equal-or-greater","0",1,1,TRUE,"off",99
"9",0.0824892718058661,1,0.0099009900990099,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.1",0.0509882875360085,3,0.0198019801980198,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.2",0.024836840561082,5,0.0297029702970297,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.3",0.0118845901191655,7,0.0396039603960396,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.4",0.00773652931972541,9,0.0495049504950495,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.5",0.00701394186917808,11,0.0594059405940594,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.6",0.00622498638883713,13,0.0693069306930693,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.7",0.00700062774417536,15,0.0792079207920792,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.8",0.00834698288407755,17,0.0891089108910891,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.9",0.00900999876621142,19,0.099009900990099,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.10",0.0103055328041966,21,0.108910891089109,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.11",0.00948582280637077,23,0.118811881188119,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.12",0.00966380675379607,25,0.128712871287129,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.13",0.00993795385879068,27,0.138613861386139,9,"equal-or-greater","0",1,1,TRUE,"off",99
"9.14",0.0102954556921051,29,0.148514851485149,9,"equal-or-greater","0",1,1,TRUE,"off",99
"10",0.0833653536071263,1,0.0099009900990099,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.1",0.0511825297749311,3,0.0198019801980198,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.2",0.023233094941173,5,0.0297029702970297,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.3",0.0100012269449464,7,0.0396039603960396,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.4",0.00517201096748985,9,0.0495049504950495,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.5",0.00445218681993976,11,0.0594059405940594,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.6",0.00360191356792475,13,0.0693069306930693,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.7",0.0048005824341782,15,0.0792079207920792,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.8",0.00567864044574282,17,0.0891089108910891,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.9",0.00639573517747941,19,0.099009900990099,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.10",0.00774697291422089,21,0.108910891089109,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.11",0.0067834927045821,23,0.118811881188119,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.12",0.00706928280671109,25,0.128712871287129,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.13",0.00749270535570602,27,0.138613861386139,10,"equal-or-greater","0",1,1,TRUE,"off",99
"10.14",0.00795568941071459,29,0.148514851485149,10,"equal-or-greater","0",1,1,TRUE,"off",99
