"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"9.1",0.0338945798327707,3,0.0198019801980198,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.2",0.033382438442187,5,0.0297029702970297,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.3",0.0278186994096457,7,0.0396039603960396,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.4",0.0236759436566777,9,0.0495049504950495,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.5",0.0185815978049634,11,0.0594059405940594,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.6",0.0144943205731175,13,0.0693069306930693,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.7",0.0105524376007123,15,0.0792079207920792,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.8",0.00795485479641454,17,0.0891089108910891,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.9",0.00629607753062315,19,0.099009900990099,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.10",0.00596460857726701,21,0.108910891089109,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.11",0.00398517389318907,23,0.118811881188119,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.12",0.00345270903981896,25,0.128712871287129,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.13",0.00318941237251202,27,0.138613861386139,9,"equal-or-greater",0,3,1,TRUE,"off",99
"9.14",0.00306086933929815,29,0.148514851485149,9,"equal-or-greater",0,3,1,TRUE,"off",99
"10",0.0284768099883721,1,0.0099009900990099,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.1",0.0378967732939125,3,0.0198019801980198,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.2",0.0367603052594305,5,0.0297029702970297,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.3",0.0299362839026281,7,0.0396039603960396,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.4",0.0246615419793894,9,0.0495049504950495,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.5",0.0191520148448478,11,0.0594059405940594,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.6",0.0141641078816123,13,0.0693069306930693,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.7",0.0098757090988072,15,0.0792079207920792,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.8",0.00712759522201317,17,0.0891089108910891,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.9",0.00534404388633479,19,0.099009900990099,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.10",0.00568970413144599,21,0.108910891089109,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.11",0.0038870611657187,23,0.118811881188119,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.12",0.00380909446111992,25,0.128712871287129,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.13",0.00326710049100048,27,0.138613861386139,10,"equal-or-greater",0,3,1,TRUE,"off",99
"10.14",0.00273755893693938,29,0.148514851485149,10,"equal-or-greater",0,3,1,TRUE,"off",99
"11",0.0103202658625743,1,0.0099009900990099,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.1",0.0101558685344909,3,0.0198019801980198,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.2",0.00506620100639331,5,0.0297029702970297,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.3",0.00192731751122273,7,0.0396039603960396,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.4",0.00117405858920796,9,0.0495049504950495,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.5",0.00101831970103923,11,0.0594059405940594,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.6",0.000659087520365682,13,0.0693069306930693,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.7",0.00062223248729177,15,0.0792079207920792,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.8",0.000264598397514379,17,0.346534653465347,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.9",9.67235482759557e-05,19,0.693069306930693,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.10",0.000288957904559781,21,0.653465346534653,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.11",-0.000144739439118198,23,1,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.12",2.89577448415823e-05,25,1,11,"equal-or-greater",0,3,1,TRUE,"random",22
"11.13",0.000253443667394638,27,1,11,"equal-or-greater",0,3,1,TRUE,"random",22
